id,pilier,theme,format,methode_outil,statut,date_utilisation
T025,P2 - Structurer la force de vente,Qualifier ses prospects avant de perdre du temps,méthode,BANT,à publier,
T026,P2 - Structurer la force de vente,Le rapport de visite : outil utile ou perte de temps ?,question,Reporting commercial,à publier,
T027,P2 - Structurer la force de vente,Répartir clients et zones entre ses commerciaux,conseil,Sectorisation,à publier,
T028,P2 - Structurer la force de vente,Suivre l'activité de ses commerciaux sans les fliquer,erreur,Management commercial,à publier,
T029,P2 - Structurer la force de vente,Rédiger un plan d'action commercial trimestriel,méthode,Plan d'action commercial,à publier,
T030,P2 - Structurer la force de vente,Bâtir un plan de prospection sur 3 mois,checklist,Plan de prospection,à publier,
T031,P2 - Structurer la force de vente,Le taux de transformation : l'indicateur que les PME oublient,conseil,Taux de transformation,à publier,
T032,P2 - Structurer la force de vente,Quand le dirigeant est le seul vendeur de l'entreprise,erreur,Délégation commerciale,à publier,
T033,P2 - Structurer la force de vente,Définir son processus de vente de A à Z,méthode,Processus de vente,à publier,
T034,P2 - Structurer la force de vente,Combien de contacts faut-il pour signer un client ?,question,Cycle de vente,à publier,
T035,P2 - Structurer la force de vente,"Organiser une prospection multicanale : terrain, téléphone, WhatsApp, réseaux",méthode,Prospection multicanale,à publier,
T036,P2 - Structurer la force de vente,Les 30 premiers jours d'un nouveau commercial,checklist,Intégration (onboarding),à publier,
T037,P2 - Structurer la force de vente,Tenir un fichier clients unique et à jour,conseil,Fichier clients,à publier,
T038,P2 - Structurer la force de vente,Clarifier qui fait quoi dans l'équipe commerciale,méthode,Matrice RACI,à publier,
T039,P2 - Structurer la force de vente,"Les supports de vente indispensables : plaquette, grille tarifaire, argumentaire",checklist,Outils d'aide à la vente,à publier,
T040,P2 - Structurer la force de vente,Gérer ses grands comptes : les bases du Key Account Management,méthode,KAM,à publier,
T041,P3 - Former et faire monter en compétences les commerciaux,Découvrir les vrais besoins du client,méthode,SPIN,à publier,
T042,P3 - Former et faire monter en compétences les commerciaux,Les 5 erreurs du commercial débutant,erreur,Fondamentaux de la vente,à publier,
T043,P3 - Former et faire monter en compétences les commerciaux,Comprendre les motivations d'achat de ses clients,méthode,SONCAS,à publier,
T044,P3 - Former et faire monter en compétences les commerciaux,Réussir son entretien de vente en 5 étapes,checklist,Entretien de vente,à publier,
T045,P3 - Former et faire monter en compétences les commerciaux,Argumenter avec la méthode Caractéristique - Avantage - Preuve,méthode,CAP / CAB,à publier,
T046,P3 - Former et faire monter en compétences les commerciaux,« C'est trop cher » : les mauvaises réponses et la bonne,erreur,Traitement des objections,à publier,
T047,P3 - Former et faire monter en compétences les commerciaux,Traiter les objections sans se braquer,méthode,CROC,à publier,
T048,P3 - Former et faire monter en compétences les commerciaux,Former ses commerciaux : sur le terrain ou en salle ?,question,Formation commerciale,à publier,
T049,P3 - Former et faire monter en compétences les commerciaux,Conclure une vente sans forcer : les techniques de closing,conseil,Closing,à publier,
T050,P3 - Former et faire monter en compétences les commerciaux,Prospecter par téléphone sans se faire raccrocher au nez,checklist,Prospection téléphonique,à publier,
T051,P3 - Former et faire monter en compétences les commerciaux,Construire son pitch d'une minute,méthode,Pitch,à publier,
T052,P3 - Former et faire monter en compétences les commerciaux,Vendre le produit au lieu de vendre la valeur,erreur,Vente de valeur,à publier,
T053,P3 - Former et faire monter en compétences les commerciaux,L'écoute active : parler moins pour vendre plus,conseil,Écoute active,à publier,
T054,P3 - Former et faire monter en compétences les commerciaux,"La posture du commercial : présentation, ponctualité, confiance",checklist,Compétences comportementales,à publier,
T055,P3 - Former et faire monter en compétences les commerciaux,Préparer une négociation : connaître sa solution de repli,méthode,BATNA,à publier,
T056,P3 - Former et faire monter en compétences les commerciaux,Quelle est la compétence qui manque le plus à vos commerciaux ?,question,Grille de positionnement,à publier,
T057,P3 - Former et faire monter en compétences les commerciaux,Gérer un client mécontent et le fidéliser,conseil,Relation client,à publier,
T058,P3 - Former et faire monter en compétences les commerciaux,Le jeu de rôle : l'outil de formation le plus sous-estimé,conseil,Jeu de rôle,à publier,
T059,P3 - Former et faire monter en compétences les commerciaux,Évaluer objectivement le niveau de ses commerciaux,méthode,Grille de positionnement STFC (8 blocs / 210 points),à publier,
T060,P3 - Former et faire monter en compétences les commerciaux,Motiver un commercial qui n'atteint pas ses objectifs,conseil,Accompagnement individuel,à publier,
T061,P4 - Organiser le service commercial,Diagnostiquer son organisation commerciale en 10 questions,checklist,Diagnostic commercial,à publier,
T062,P4 - Organiser le service commercial,Recruter trop vite : l'erreur qui coûte cher,erreur,Recrutement commercial,à publier,
T063,P4 - Organiser le service commercial,Recruter le bon commercial : les critères qui comptent vraiment,conseil,Recrutement commercial,à publier,
T064,P4 - Organiser le service commercial,"Commercial salarié, agent commissionné ou apporteur d'affaires ?",question,Statut des vendeurs,à publier,
T065,P4 - Organiser le service commercial,Rémunération variable : motiver sans mettre l'entreprise en danger,méthode,Rémunération variable,à publier,
T066,P4 - Organiser le service commercial,Pas de fiche de poste pour ses commerciaux : la source du flou,erreur,Fiche de poste,à publier,
T067,P4 - Organiser le service commercial,Construire le tableau de bord commercial du dirigeant,conseil,Tableau de bord,à publier,
T068,P4 - Organiser le service commercial,Les rituels d'une équipe commerciale performante,checklist,Rituels d'équipe,à publier,
T069,P4 - Organiser le service commercial,Le Balanced Scorecard simplifié pour PME,méthode,Balanced Scorecard,à publier,
T070,P4 - Organiser le service commercial,Quand faut-il embaucher son premier commercial ?,question,Structuration,à publier,
T071,P4 - Organiser le service commercial,"Vendeur, chef des ventes, directeur commercial : définir les rôles",conseil,Organigramme commercial,à publier,
T072,P4 - Organiser le service commercial,Ventes et marketing qui travaillent chacun de leur côté,erreur,Alignement ventes-marketing,à publier,
T073,P4 - Organiser le service commercial,Élaborer une grille tarifaire et une politique de remise,méthode,Gouvernance commerciale,à publier,
T074,P4 - Organiser le service commercial,Analyser son environnement avant de fixer sa stratégie,méthode,PESTEL,à publier,
T075,P4 - Organiser le service commercial,Passer de dirigeant-vendeur à dirigeant-manager,conseil,Délégation,à publier,
T076,P4 - Organiser le service commercial,Analyser la pression concurrentielle de son marché,méthode,5 forces de Porter,à publier,
T077,P4 - Organiser le service commercial,"Relier ventes, stock et livraison pour ne plus perdre de clients",checklist,Chaîne commerciale,à publier,
T078,P4 - Organiser le service commercial,Développer une culture du résultat dans l'équipe,conseil,Culture de résultats,à publier,
T079,P4 - Organiser le service commercial,Rédiger un plan stratégique commercial à 3 ans,méthode,Plan stratégique commercial,à publier,
T080,P4 - Organiser le service commercial,Votre organisation commerciale tiendrait-elle si vous partiez 1 mois ?,question,Autonomie de l'équipe,à publier,
T081,P5 - Marketing d'innovation,Trouver sa phrase de différenciation,méthode,Différenciation,à publier,
T082,P5 - Marketing d'innovation,Publier sur les réseaux sociaux sans stratégie,erreur,Stratégie de contenu,à publier,
T083,P5 - Marketing d'innovation,Définir une proposition de valeur claire,conseil,Proposition de valeur,à publier,
T084,P5 - Marketing d'innovation,Construire son Business Model Canvas en une page,méthode,BMC,à publier,
T085,P5 - Marketing d'innovation,Créer un calendrier éditorial pour ses réseaux,checklist,Calendrier éditorial,à publier,
T086,P5 - Marketing d'innovation,Quel contenu fait vraiment réagir vos clients ?,question,Engagement,à publier,
T087,P5 - Marketing d'innovation,Le storytelling de marque pour une PME,conseil,Storytelling,à publier,
T088,P5 - Marketing d'innovation,Tester une nouvelle offre avec un petit budget,méthode,Test de marché,à publier,
T089,P5 - Marketing d'innovation,Innover sans gros budget : 5 pistes concrètes,checklist,Innovation,à publier,
T090,P5 - Marketing d'innovation,"Une marque cohérente : logo, discours, expérience client",conseil,Positionnement de marque,à publier,
T091,P6 - Transformation digitale,"Bien utiliser WhatsApp Business : catalogue, réponses rapides, étiquettes",checklist,WhatsApp Business,à publier,
T092,P6 - Transformation digitale,Acheter des outils numériques sans plan,erreur,Plan d'équipement digital,à publier,
T093,P6 - Transformation digitale,Adopter un CRM simple : par où commencer ?,conseil,CRM,à publier,
T094,P6 - Transformation digitale,Passer du cahier au fichier de suivi numérique,méthode,Fichier de suivi,à publier,
T095,P6 - Transformation digitale,Un site web est-il indispensable pour une PME ?,question,Présence en ligne,à publier,
T096,P6 - Transformation digitale,Encaisser par Mobile Money : avantages et bonnes pratiques,conseil,Paiement électronique,à publier,
T097,P6 - Transformation digitale,Automatiser les tâches répétitives de l'équipe commerciale,méthode,Automatisation,à publier,
T098,P6 - Transformation digitale,Être trouvé localement avec sa fiche Google Business Profile,checklist,Référencement local,à publier,
T099,P6 - Transformation digitale,L'IA au service des commerciaux : des usages simples,conseil,Intelligence artificielle,à publier,
T100,P6 - Transformation digitale,Évaluer sa maturité digitale en 5 dimensions,méthode,Diagnostic de maturité digitale,à publier,
